name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
Golden Square,"London, United Kingdom",1,0,1,0,0,0,1,0,0,1,1,0,51.5074456,-0.1277653
Abbey Road Studios,3 Abbey Rd.,0,0,0,1,0,0,0,0,0,0,0,0,42.6188143,-73.8414462
Queen's House,"Romney Road, London, United Kingdom",0,0,0,0,0,1,0,1,0,0,0,0,51.4821549,-0.0051874
Leicester Square,Leicester Sq,0,0,0,0,0,1,0,0,0,1,1,0,51.5105346,-0.1295956
Finsbury Park,"Endymion Road, London, United Kingdom",1,0,0,1,0,0,1,0,0,1,0,0,51.5723508,-0.1053956
Tavistock Square Gardens,"London, United Kingdom",1,0,0,0,0,0,0,0,0,1,0,0,51.5074456,-0.1277653
Vauxhall Bridge,Vauxhall Bridge Rd,0,0,0,0,0,1,0,1,0,0,0,0,51.4962301,-0.1426198
Potters Fields Park,"London, United Kingdom",1,0,0,1,0,0,0,0,0,1,1,1,51.5074456,-0.1277653
Grosvenor Square Garden,"London, United Kingdom",1,0,0,1,0,1,0,0,0,1,0,0,51.5074456,-0.1277653
Mudchute Park,"London, United Kingdom",1,0,0,0,0,0,0,0,0,1,1,0,51.5074456,-0.1277653
Millennium Park,"London, United Kingdom",1,0,0,0,0,0,1,0,0,1,0,0,51.5074456,-0.1277653
Furnivall Gardens,"London, United Kingdom",1,0,0,0,0,0,0,0,0,1,0,0,51.5074456,-0.1277653
Christ Church,Commercial St.,0,0,0,0,0,1,0,0,0,0,0,0,51.5222851,-0.0767645
St Pancras Church,Euston Rd.,0,0,0,0,0,1,0,0,0,0,0,0,51.5247178,-0.1385303
Tower Hamlets Cemetery Park,"Southern Grove, London, United Kingdom",1,0,0,0,0,1,0,0,0,1,0,0,51.5247366,-0.0312895
Hainault Forest Country Park,United Kingdom,1,0,0,0,1,0,0,0,0,1,0,0,54.7023545,-3.2765753
Ealing Common,"London, United Kingdom",0,0,0,0,0,0,0,0,0,1,0,0,51.5074456,-0.1277653
Museum of London,"150 London Wall, London, United Kingdom",0,0,0,0,0,1,0,1,1,0,0,0,51.5178798,-0.0963053
The British Museum,"Great Russell Street, London, United Kingdom",0,0,0,0,0,1,0,1,1,0,0,0,51.5183072,-0.1259211
National Maritime Museum,"Romney Road, London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.4821549,-0.0051874
Design Museum,"28 Shad Thames, London, United Kingdom",0,0,0,0,0,1,0,1,1,0,0,0,51.5029111,-0.0718143
Geffrye Museum,"136 Kingsland Road, London, United Kingdom",1,0,0,0,0,0,0,0,1,1,0,0,51.5315243,-0.07643
Horniman Museum & Gardens,"100 London Road, London, United Kingdom",0,0,0,0,0,1,0,1,1,0,0,0,51.5279693,0.0200589
Dulwich Picture Gallery,"College Road, United Kingdom",0,0,0,0,0,0,0,1,1,0,0,0,51.443842,-0.0850085
Barbican Centre,Silk St,0,0,1,0,0,0,0,0,0,0,1,1,42.217449,-76.1934801
The Sherlock Holmes Museum,"221B Baker Street, London, United Kingdom",0,0,0,0,0,0,0,0,1,0,0,0,51.5233879,-0.1582367
Serpentine Gallery,"Kensington Gardens, London, United Kingdom",0,0,1,0,0,0,0,1,0,0,0,0,51.5066463,-0.1804266
Kew Bridge Steam Museum,"Green Dragon Lane, Brentford, United Kingdom",0,0,0,0,0,1,0,0,0,0,0,0,51.4896546,-0.2980194
Hogarth's House,"London, United Kingdom",0,0,0,0,0,0,0,1,0,1,0,0,51.5074456,-0.1277653
Royal Academy of Arts,"Burlington House, Piccadilly, London, United Kingdom",0,0,0,0,0,0,0,1,1,0,0,0,51.5092768,-0.1397381
South London Gallery,"67 Peckham Road, London, United Kingdom",0,0,0,0,0,0,0,1,0,0,0,0,51.4742332,-0.0796542
National Army Museum,"Royal Hospital Road, London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.489102,-0.1566738
Garden Museum,"5 Lambeth Palace Road, London, United Kingdom",1,0,0,0,0,0,0,0,1,1,0,0,51.4948514,-0.1197895
Freud Museum,"20 Maresfield Gardens, London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.5483391,-0.1773926
Churchill War Rooms (Churchill Museum & Cabinet War Rooms),King Charles St.,0,0,0,0,0,1,0,0,1,0,0,0,51.5021061,-0.126102
